California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
194602,2.11,-1.85
194603,2.77,-0.56
194604,0.33,-1.33
194605,0.59,-0.37
194606,0.06,-0.28
194607,0.46,0.28
194608,0.12,-0.11
194609,0.24,-0.18
194610,1.02,-0.25
194611,4.55,1.85
194612,2.77,-1.24
194701,0.96,-3.11
194702,1.80,-2.16
194703,2.99,-0.34
194704,0.76,-0.90
194705,0.48,-0.48
194706,0.76,0.42
194707,0.09,-0.09
194708,0.23,0.00
194709,0.11,-0.31
194710,2.75,1.48
194711,0.80,-1.90
194712,1.44,-2.57
194801,2.04,-2.03
194802,1.99,-1.97
194803,3.48,0.15
194804,4.38,2.72
194805,1.31,0.35
194806,0.66,0.32
194807,0.17,-0.01
194808,0.08,-0.15
194809,0.40,-0.02
194810,0.88,-0.39
194811,1.11,-1.59
194812,3.72,-0.29
194901,2.09,-1.98
194902,2.76,-1.20
194903,4.49,1.16
194904,0.21,-1.45
194905,1.33,0.37
194906,0.09,-0.25
194907,0.07,-0.11
194908,0.15,-0.08
194909,0.11,-0.31
194910,0.30,-0.97
194911,1.72,-0.98
194912,1.90,-2.11
195001,5.39,1.32
195002,2.71,-1.25
195003,2.85,-0.48
195004,1.34,-0.32
195005,0.63,-0.33
195006,0.34,0.00
195007,0.24,0.06
195008,0.07,-0.16
195009,0.51,0.09
195010,3.41,2.14
195011,4.24,1.54
195012,4.21,0.20
195101,4.09,0.02
195102,2.54,-1.42
195103,1.17,-2.16
195104,1.60,-0.06
195105,1.02,0.06
195106,0.07,-0.27
195107,0.15,-0.03
195108,0.35,0.12
195109,0.15,-0.27
195110,1.85,0.58
195111,3.37,0.67
195112,7.23,3.22
195201,7.44,3.37
195202,2.58,-1.38
195203,4.78,1.45
195204,1.50,-0.16
195205,0.46,-0.50
195206,0.68,0.34
195207,0.40,0.22
195208,0.05,-0.18
195209,0.45,0.03
195210,0.12,-1.15
195211,2.29,-0.41
195212,7.22,3.21
195301,4.52,0.45
195302,0.55,-3.41
195303,2.32,-1.01
195304,2.23,0.57
195305,1.63,0.67
195306,0.61,0.27
195307,0.10,-0.08
